Learning rate set to 0.04175
220:	learn: 16652.8448607	total: 309ms	remaining: 1.09s
221:	learn: 16630.7141839	total: 310ms	remaining: 1.09s
222:	learn: 16609.4069906	total: 311ms	remaining: 1.08s
223:	learn: 16591.5779025	total: 312ms	remaining: 1.08s
224:	learn: 16567.9634540	total: 314ms	remaining: 1.08s
225:	learn: 16551.4515996	total: 315ms	remaining: 1.08s
226:	learn: 16497.8760024	total: 316ms	remaining: 1.07s
227:	learn: 16481.1509754	total: 317ms	remaining: 1.07s
228:	learn: 16451.2350826	total: 318ms	remaining: 1.07s
229:	learn: 16426.6615880	total: 319ms	remaining: 1.07s
230:	learn: 16387.3971532	total: 320ms	remaining: 1.07s
231:	learn: 16369.9282195	total: 321ms	remaining: 1.06s
232:	learn: 16346.2371097	total: 322ms	remaining: 1.06s
233:	learn: 16329.5360171	total: 324ms	remaining: 1.06s
234:	learn: 16301.8213245	total: 325ms	remaining: 1.06s
235:	learn: 16261.6256919	total: 326ms	remaining: 1.05s
236:	learn: 16252.1101365	total: 327ms	remaining: 1.05s
237:	learn: 16226.8483469	total: 328ms	remaining: 1.05s
238:	learn: 16192.1545521	total: 329ms	remaining: 1.05s
239:	learn: 16177.5659223	total: 330ms	remaining: 1.04s
240:	learn: 16153.0751982	total: 331ms	remaining: 1.04s
241:	learn: 16131.3357314	total: 332ms	remaining: 1.04s
242:	learn: 16098.2908926	total: 333ms	remaining: 1.04s
243:	learn: 16078.0570419	total: 335ms	remaining: 1.04s
244:	learn: 16055.7269945	total: 336ms	remaining: 1.03s
245:	learn: 16032.1344681	total: 337ms	remaining: 1.03s
246:	learn: 15997.2319989	total: 338ms	remaining: 1.03s
247:	learn: 15974.5239529	total: 339ms	remaining: 1.03s
248:	learn: 15951.2860600	total: 340ms	remaining: 1.02s
249:	learn: 15922.1150112	total: 341ms	remaining: 1.02s
250:	learn: 15885.1575994	total: 342ms	remaining: 1.02s
251:	learn: 15853.9334166	total: 343ms	remaining: 1.02s
252:	learn: 15842.3719221	total: 345ms	remaining: 1.02s
253:	learn: 15833.8455510	total: 346ms	remaining: 1.01s
254:	learn: 15788.8855126	total: 347ms	remaining: 1.01s
255:	learn: 15761.6190111	total: 348ms	remaining: 1.01s
256:	learn: 15755.3889040	total: 349ms	remaining: 1.01s
257:	learn: 15746.1724564	total: 350ms	remaining: 1.01s
258:	learn: 15736.3750141	total: 351ms	remaining: 1s
259:	learn: 15695.6524145	total: 352ms	remaining: 1s
260:	learn: 15684.2529117	total: 353ms	remaining: 1s
261:	learn: 15646.7990247	total: 354ms	remaining: 999ms
262:	learn: 15615.2297673	total: 356ms	remaining: 996ms
263:	learn: 15578.3892577	total: 357ms	remaining: 994ms
264:	learn: 15574.2747463	total: 358ms	remaining: 992ms
265:	learn: 15567.2711012	total: 359ms	remaining: 990ms
266:	learn: 15514.1336874	total: 360ms	remaining: 988ms
267:	learn: 15474.9415828	total: 361ms	remaining: 986ms
268:	learn: 15460.7920621	total: 362ms	remaining: 984ms
269:	learn: 15442.7777113	total: 363ms	remaining: 983ms
270:	learn: 15436.3537394	total: 365ms	remaining: 981ms
271:	learn: 15416.4454186	total: 366ms	remaining: 979ms
272:	learn: 15391.5907910	total: 367ms	remaining: 977ms
273:	learn: 15387.8349727	total: 368ms	remaining: 975ms
274:	learn: 15356.8685109	total: 369ms	remaining: 973ms
275:	learn: 15324.8947506	total: 370ms	remaining: 971ms
276:	learn: 15299.7982971	total: 371ms	remaining: 969ms
277:	learn: 15265.4011409	total: 372ms	remaining: 967ms
278:	learn: 15256.3180900	total: 373ms	remaining: 965ms
279:	learn: 15219.4428066	total: 375ms	remaining: 963ms
280:	learn: 15172.0567842	total: 376ms	remaining: 961ms
281:	learn: 15153.2248713	total: 377ms	remaining: 959ms
282:	learn: 15127.8306382	total: 378ms	remaining: 958ms
283:	learn: 15106.9621707	total: 379ms	remaining: 956ms
284:	learn: 15070.8735143	total: 380ms	remaining: 954ms
285:	learn: 15064.4267211	total: 381ms	remaining: 952ms
286:	learn: 15054.6943816	total: 386ms	remaining: 960ms
287:	learn: 15011.0082214	total: 388ms	remaining: 959ms
288:	learn: 14986.7260954	total: 389ms	remaining: 958ms
289:	learn: 14956.7896366	total: 391ms	remaining: 957ms
290:	learn: 14930.8325986	total: 393ms	remaining: 956ms
291:	learn: 14907.2938423	total: 394ms	remaining: 956ms
292:	learn: 14872.7043145	total: 396ms	remaining: 955ms
293:	learn: 14863.7625604	total: 397ms	remaining: 953ms
294:	learn: 14838.4306301	total: 398ms	remaining: 952ms
295:	learn: 14814.0037318	total: 400ms	remaining: 950ms
296:	learn: 14801.2410450	total: 401ms	remaining: 949ms
297:	learn: 14774.2757869	total: 402ms	remaining: 947ms
298:	learn: 14749.3547153	total: 404ms	remaining: 946ms
299:	learn: 14707.3870960	total: 405ms	remaining: 945ms
300:	learn: 14683.0479220	total: 406ms	remaining: 944ms
301:	learn: 14652.9722348	total: 408ms	remaining: 944ms
302:	learn: 14616.9715407	total: 410ms	remaining: 943ms
303:	learn: 14594.8058578	total: 411ms	remaining: 942ms
304:	learn: 14567.4111177	total: 412ms	remaining: 940ms
305:	learn: 14541.4267816	total: 414ms	remaining: 938ms
306:	learn: 14511.9287473	total: 415ms	remaining: 936ms
307:	learn: 14503.7289538	total: 416ms	remaining: 934ms
308:	learn: 14473.1588492	total: 417ms	remaining: 932ms
309:	learn: 14444.8492792	total: 418ms	remaining: 930ms
310:	learn: 14416.5885033	total: 419ms	remaining: 928ms
311:	learn: 14395.1594449	total: 420ms	remaining: 927ms
312:	learn: 14358.0560428	total: 422ms	remaining: 925ms
313:	learn: 14334.3699755	total: 423ms	remaining: 924ms
314:	learn: 14314.5649856	total: 424ms	remaining: 922ms
